Ticker,Cluster,Sector,Avg_Return,Volatility
AVY,0,Paper & Plastic Packaging Products & Materials,0.0005648091507020785,0.014114813129532734
AWK,4,Water Utilities,-0.0004507060440184809,0.013615862981461805
AXON,0,Aerospace & Defense,0.001983186103077757,0.022804745402030854
AXP,1,Consumer Finance,0.0011635195632799505,0.016434588110795036
AZO,0,Automotive Retail,0.0003374748742245803,0.013408792790401901
BA,0,Aerospace & Defense,0.001303179388485954,0.017091216377171033
BAC,1,Diversified Banks,0.0002850089130510364,0.016942658055727727
BALL,0,"Metal, Glass & Plastic Containers",0.0006703363233911116,0.020401930746883516
BAX,0,Health Care Equipment,-0.000782832184486696,0.020454965968869056
BBY,1,Computer & Electronics Retail,0.0002284640500850796,0.016733378999640693
BDX,0,Health Care Equipment,-6.338063113191311e-05,0.012176460961893495
BEN,1,Asset Management & Custody Banks,0.0006704614710324018,0.017532868792326073
BF-B,0,Distillers & Vintners,-0.00035194908455754684,0.015041203710820924
BG,0,Agricultural Products & Services,0.00048121337945735505,0.018032523104058566
BIIB,0,Biotechnology,-0.0001146621613316273,0.013778802380585882
BK,1,Asset Management & Custody Banks,0.0007300961982218556,0.015202865923693033
BKNG,0,"Hotels, Resorts & Cruise Lines",0.002361780166281772,0.01571862563014643
BKR,3,Oil & Gas Equipment & Services,0.0009381434571004182,0.01709702582162223
BLDR,1,Building Products,0.00411873986316606,0.02632720642453139
BLK,1,Asset Management & Custody Banks,0.0007374501564087854,0.013950918905780676
BMY,0,Pharmaceuticals,-0.0011590259048301276,0.012194304511493477
BR,0,Data Processing & Outsourced Services,0.001856457997584835,0.012409092064448303
BRK-B,0,Multi-Sector Holdings,0.0006013212094156188,0.008609698096588176
BRO,0,Insurance Brokers,0.001024682419315,0.01281607922532902
BSX,0,Health Care Equipment,0.0009967462128298327,0.012635726899092543
BX,1,Asset Management & Custody Banks,0.00255889756109058,0.02187725408520462
BXP,4,Office REITs,0.0008398182790919158,0.02718679668607914
C,1,Diversified Banks,0.000778415731349515,0.016060757055344415
CAG,0,Packaged Foods & Meats,-0.0009844866655615674,0.011759618065089713
CAH,0,Health Care Distributors,0.0012753383334664407,0.013275118693846323
CARR,0,Building Products,0.0015349247253748732,0.018752256125285638
CAT,0,Construction Machinery & Heavy Transportation Equipment,0.0010998313329958372,0.01805772186194819
CB,0,Property & Casualty Insurance,0.00024417295563207203,0.012832754307377086
CBOE,0,Financial Exchanges & Data,0.001510103060336939,0.011165761589182135
CBRE,1,Real Estate Services,0.0008468290223766838,0.017911459652441522
CCI,4,Telecom Tower REITs,-0.0003617290190184152,0.01738747132765887
CCL,1,"Hotels, Resorts & Cruise Lines",0.0038812848869056566,0.03142425748112798
CDNS,2,Application Software,0.0022956193286630053,0.01735044760709187
CDW,0,Technology Distributors,0.0011160796393090528,0.015215006490727998
CEG,0,Electric Utilities,0.0016208069415463726,0.016960279518800223
CF,3,Fertilizers & Agricultural Chemicals,0.00015653812695962945,0.01983803296885923
CFG,1,Regional Banks,-0.0001473698650101994,0.025978796420806406
CHD,0,Household Products,0.0006920718224035311,0.01205089311307837
CHRW,0,Air Freight & Logistics,5.500863827407824e-05,0.015884641746520673
CHTR,0,Cable & Satellite,0.0007175686711269536,0.0199140715991624
CI,0,Health Care Services,-3.054374687451896e-05,0.019334845020669223
CINF,0,Property & Casualty Insurance,0.000228339513533271,0.016521171272441803
CL,0,Household Products,0.0001854691322165658,0.01035460876051115
CLX,0,Household Products,0.0002607116918131432,0.01566681478746431
CMCSA,0,Cable & Satellite,0.001039073524128418,0.01511036293604371
CME,0,Financial Exchanges & Data,0.00113950767586383,0.011324936822366356
CMG,2,Restaurants,0.0021895202487091526,0.0164034727183037
CMI,0,Construction Machinery & Heavy Transportation Equipment,0.00020787198055213928,0.015397442999336926
CMS,4,Multi-Utilities,-0.00016089808170227204,0.012615939574926335
CNC,0,Managed Health Care,-0.00015529554793924168,0.016329900307127988
CNP,4,Multi-Utilities,4.8737781450986193e-05,0.012409309997762075
COF,1,Consumer Finance,0.0016818834191770107,0.020537728920423666
COO,0,Health Care Supplies,0.0006215831557531253,0.014435919431450487
COP,3,Oil & Gas Exploration & Production,0.0004090327098713816,0.01799712600807131
COR,0,Health Care Distributors,0.000994217790449005,0.010259082177652847
COST,0,Consumer Staples Merchandise Retail,0.001703034353832608,0.01204674626358249
CPAY,0,Transaction & Payment Processing Services,0.0018883172796800116,0.017177479118479576
CPB,0,Packaged Foods & Meats,-0.0008371344577785682,0.01362489645965495
CPRT,0,Diversified Support Services,0.0019671119371826337,0.013609454384410195
CPT,4,Multi-Family Residential REITs,-0.00015960814266524582,0.015264140136650792
CRL,0,Life Sciences Tools & Services,0.0005651585614721541,0.022176575815348702
CRM,2,Application Software,0.002860713213176583,0.018649685213807957
CRWD,2,Systems Software,0.00398417621934673,0.02625290395744112
CSCO,0,Communications Equipment,0.00041537067883345367,0.012843500647382138
CSGP,0,Real Estate Services,0.0006222251673634425,0.01718771151581215
CSX,0,Rail Transportation,0.0006072074256031378,0.01307820394537649
CTAS,0,Diversified Support Services,0.0012756537891507869,0.012012250799225334
CTRA,3,Oil & Gas Exploration & Production,0.000720962220072068,0.017725374066863947
CTSH,0,IT Consulting & Other Services,0.001268984089197263,0.014901064745852644
CTVA,0,Fertilizers & Agricultural Chemicals,-0.000653764238196035,0.016035352361402348
CVS,0,Health Care Services,-0.00040584696705455803,0.015430648112278551
CVX,3,Integrated Oil & Gas,-0.00035857940672892196,0.01448371030752122
CZR,1,Casinos & Gaming,0.0008286326722135647,0.02878312963098552
D,4,Multi-Utilities,-0.0008468311495554699,0.015000810032658879
DAL,1,Passenger Airlines,0.0010392423665539902,0.01880424693261752
DASH,1,Specialized Consumer Services,0.0032565039679363027,0.02780213197778809
DAY,1,Human Resource & Employment Services,0.0005909808745135593,0.022138203295710264
DD,0,Specialty Chemicals,0.0006389001091546345,0.015077501003491645
DE,0,Agricultural & Farm Machinery,-3.789582426871439e-05,0.017125169524496057
DECK,0,Footwear,0.0023581463236811164,0.01962798459145739
DELL,0,"Technology Hardware, Storage & Peripherals",0.002863951618137976,0.021914979630822597
DFS,1,Consumer Finance,0.0009555467398902551,0.022016361444275063
DG,0,Consumer Staples Merchandise Retail,-0.0020883087511079125,0.02202082149603936
DGX,0,Health Care Services,-0.00034124426177241856,0.011553449260700595
DHI,1,Homebuilding,0.002269559122587603,0.017742102999261163
DHR,0,Life Sciences Tools & Services,0.0001151215860051046,0.01528921646004474
DIS,0,Movies & Entertainment,0.00021069612628785964,0.016650723140842205
DLR,4,Data Center REITs,0.0014448967578845654,0.019860186004741556
DLTR,0,Consumer Staples Merchandise Retail,0.0002409784850316932,0.01925163487278935
DOC,4,Health Care REITs,-0.0006099005163698108,0.018443820373189198
DOV,0,Industrial Machinery & Supplies & Components,0.0006874609910306661,0.014760255650658171
DOW,0,Commodity Chemicals,0.0005962373275906315,0.013924694480385547
DPZ,0,Restaurants,0.001010621657669341,0.0185119594291852
DRI,0,Restaurants,0.0008410949045109129,0.011179735039251702
DTE,4,Multi-Utilities,-5.105781214623139e-05,0.012256293923430717
DUK,4,Electric Utilities,-2.884867673763547e-05,0.011391319366310868
DVA,0,Health Care Services,0.001615805489844564,0.022841485910457895
DVN,3,Oil & Gas Exploration & Production,-0.0005309968777035411,0.021359960689527484
DXCM,0,Health Care Equipment,0.0006361165795707888,0.025438670173496648
EA,0,Interactive Home Entertainment,0.0005435387406829741,0.012943215836634677
EBAY,0,Broadline Retail,0.0003847526610006837,0.017504505782505324
ECL,0,Specialty Chemicals,0.0013314237796403028,0.013034451426696394
ED,4,Multi-Utilities,-2.3354246973610657e-07,0.011328143719833208
EFX,0,Research & Consulting Services,0.0010767566502502307,0.017869327208683384
EG,0,Reinsurance,0.0004506362450037255,0.016797827086016282
EIX,4,Electric Utilities,0.000700840304976758,0.01410975217459316
EL,0,Personal Care Products,-0.0018030301969476875,0.025772528529701414
ELV,0,Managed Health Care,-8.562630449605997e-05,0.015213566812159266
EMN,0,Specialty Chemicals,0.0006704024282117388,0.017641305586665126
EMR,0,Electrical Components & Equipment,0.0002506407047610441,0.014429440281933829
ENPH,1,Semiconductor Materials & Equipment,-0.0018456266385122979,0.03839568746177421
EOG,3,Oil & Gas Exploration & Production,0.0002467544293738313,0.018400678079467814
EPAM,1,IT Consulting & Other Services,-5.714031752551406e-05,0.026932454083480703
EQIX,4,Data Center REITs,0.0009799573062657908,0.015260766449986689
EQR,4,Multi-Family Residential REITs,0.00043205542216771814,0.014135100383184142
EQT,3,Oil & Gas Exploration & Production,0.0011167986582130698,0.0232375779036461
ERIE,0,Insurance Brokers,0.0015038957881631126,0.018184350842665082
ES,4,Electric Utilities,-0.0009762657563551026,0.015056933789914892
ESS,4,Multi-Family Residential REITs,0.0009408265445929463,0.016242610073719143
ETN,0,Electrical Components & Equipment,0.0019113980225697335,0.016669015000234075
ETR,4,Electric Utilities,-4.259112383616857e-05,0.013236968295580357
EVRG,4,Electric Utilities,-0.0004846449388220207,0.013227545540937575
EW,0,Health Care Equipment,0.00026216528716328606,0.017622439371063715
EXC,4,Electric Utilities,-0.0005030495355505053,0.013687376652147018
EXE,3,Oil & Gas Exploration & Production,-0.00011495603773231466,0.01792331400027057
EXPD,0,Air Freight & Logistics,0.0009211013896529103,0.014347110368652577
EXPE,1,"Hotels, Resorts & Cruise Lines",0.0025631680171808342,0.02681366921433157
EXR,4,Self-Storage REITs,0.0008034350080759199,0.020241064853813804
F,1,Automobile Manufacturers,0.0008218588719272788,0.022245006931876272
FANG,3,Oil & Gas Exploration & Production,0.001049293796058815,0.01826717402580353
FAST,0,Trading Companies & Distributors,0.0014714109307714458,0.013405788228941099
FCX,0,Copper,0.0007708337525375913,0.02231144853574113
FDS,0,Financial Exchanges & Data,0.0007671433046815328,0.01284046220602522
FDX,0,Air Freight & Logistics,0.0016633550185504752,0.01732282362074884
FE,4,Electric Utilities,-0.00030150461111930974,0.012652273247526281
FFIV,0,Communications Equipment,0.0009403742177323892,0.013469694541719132
FI,0,Transaction & Payment Processing Services,0.0011824965879820497,0.01347437274305022
FICO,0,Application Software,0.002853125491736495,0.01605220116625789
FIS,0,Transaction & Payment Processing Services,-0.00014641706996393266,0.02162564747750707
FITB,1,Regional Banks,0.0007239250940303874,0.024658954534965024
FOX,0,Broadcasting,7.200873415707429e-05,0.014590247016315302
FOXA,0,Broadcasting,8.97613155766564e-05,0.014859819478603745
FRT,4,Retail REITs,0.00030657440445791464,0.015255823553351991
FSLR,1,Semiconductors,0.0012205690887398795,0.03413866159339927
FTNT,0,Systems Software,0.0011037388920970316,0.025473396383266785
FTV,0,Industrial Machinery & Supplies & Components,0.0006637786600131704,0.014159928808265637
GD,0,Aerospace & Defense,0.00033283355974803285,0.011418102831318788
GDDY,0,Internet Services & Infrastructure,0.0015638038266583085,0.016140540894729632
GE,0,Aerospace & Defense,0.002759120576413891,0.015306478129686133
GEHC,0,Health Care Equipment,0.001484625211253787,0.019249304873615262
GEN,0,Systems Software,0.0005118364385456064,0.01953620250456383
GILD,0,Biotechnology,2.1956205883781592e-05,0.012768002652860145
GIS,0,Packaged Foods & Meats,-0.0007979656877466813,0.011477919004041763
GL,0,Life & Health Insurance,0.00017299651469160883,0.011854833305136352
GLW,0,Electronic Components,-2.5849895083813325e-05,0.014070735945170923
GM,1,Automobile Manufacturers,0.0005123455671652451,0.021451547528940396
GNRC,1,Electrical Components & Equipment,0.0017419407069669997,0.03468591828353324
GOOG,2,Interactive Media & Services,0.0020017717909334245,0.019283269674647406
GOOGL,2,Interactive Media & Services,0.001989712243562352,0.019149051821432766
GPC,0,Distributors,-0.0005916666988748904,0.015562742563499677
GPN,0,Transaction & Payment Processing Services,0.0011797029491632252,0.019632020188580436
GRMN,0,Consumer Electronics,0.0014684496511615359,0.013039722943160454
GS,1,Investment Banking & Brokerage,0.000675102327620373,0.015197921293607645
GWW,0,Industrial Machinery & Supplies & Components,0.0017757720210717306,0.01627295055315425
HAL,3,Oil & Gas Equipment & Services,0.0001648303843023247,0.02268700187437609
HAS,0,Leisure Products,-0.0003191659252434237,0.022589387009574486
HBAN,1,Regional Banks,7.87323427368288e-05,0.023118176927783923
HCA,0,Health Care Facilities,0.0005602708738083175,0.01370051757470755
HD,0,Home Improvement Retail,0.0005738962945826536,0.013557200520825097
HES,3,Integrated Oil & Gas,0.000531232645531374,0.020242469866255035
HIG,0,Property & Casualty Insurance,0.0004462608941835099,0.013515253622929985
HII,0,Aerospace & Defense,0.0006995882894762803,0.013657390311825083
HLT,0,"Hotels, Resorts & Cruise Lines",0.001624756473768894,0.014010687190379243
HOLX,0,Health Care Equipment,-0.0001460524480264007,0.012551471810974251
HON,0,Industrial Conglomerates,6.750362178243344e-05,0.011556395004005484
HPE,0,"Technology Hardware, Storage & Peripherals",0.0005094796862694302,0.0180502002885423
HPQ,1,"Technology Hardware, Storage & Peripherals",0.0007400648135911785,0.01568818620704687
HRL,0,Packaged Foods & Meats,-0.0012119876136213756,0.01375811408439504
HSIC,0,Health Care Distributors,-9.710908660914685e-05,0.014425919001930094
HST,0,Hotel & Resort REITs,0.0011642115427324324,0.017603925953148178
HSY,0,Packaged Foods & Meats,-0.0006507592631662905,0.0108532978855659
HUBB,0,Industrial Machinery & Supplies & Components,0.0015804781000285345,0.0178077738120451
HUM,0,Managed Health Care,-0.00017548008124604632,0.01732753916237724
HWM,0,Aerospace & Defense,0.0014242496866043017,0.014111031468754254
IBM,0,IT Consulting & Other Services,0.0008245086691975494,0.009955653870279312
ICE,0,Financial Exchanges & Data,0.0010064990036280988,0.011608164685904053
IDXX,0,Health Care Equipment,0.001442992694549536,0.01939060117177652
IEX,0,Industrial Machinery & Supplies & Components,-8.888486491515905e-05,0.013203552509497394
IFF,0,Specialty Chemicals,-0.0005849195571308026,0.024291335459711533
INCY,0,Biotechnology,-0.0008305523068315537,0.01547108894051574
INTC,2,Semiconductors,0.0029225895755193606,0.02425899025676932
INTU,2,Application Software,0.002082694965293548,0.01842510410798391
INVH,4,Single-Family Residential REITs,0.0008832239965710717,0.014787202926568538
IP,0,Paper & Plastic Packaging Products & Materials,0.00044590618798432617,0.01716567059810751
IPG,0,Advertising,0.0001655911647030673,0.017635444665390427
IQV,0,Life Sciences Tools & Services,0.0006403906758146473,0.01624351237238334
IR,0,Industrial Machinery & Supplies & Components,0.0016428657877275794,0.015463981261589842
IRM,4,Other Specialized REITs,0.0016480982332887043,0.014047721535482212
ISRG,0,Health Care Equipment,0.0011246282055461642,0.018202068378448257
IT,0,IT Consulting & Other Services,0.0012927732797353524,0.016159166094968404
ITW,0,Industrial Machinery & Supplies & Components,0.0008670686656111169,0.012890131364799662
IVZ,1,Asset Management & Custody Banks,0.00031528921676232154,0.020168002166997198
J,0,Construction & Engineering,0.00040166058481184893,0.01440065727788199
JBHT,0,Cargo Ground Transportation,0.0007559839849969252,0.01632514248002076
JBL,0,Electronic Manufacturing Services,0.002842652994624049,0.02305032287843839
JCI,0,Building Products,-0.00022960490874341825,0.01636978729188342
JKHY,0,Transaction & Payment Processing Services,-9.808826005371592e-05,0.017053435088979763
JNJ,0,Pharmaceuticals,-0.00034097670221044127,0.010426637112527785
JNPR,0,Communications Equipment,-0.00016668912123750918,0.014701186266214257
JPM,1,Diversified Banks,0.0011283023899180942,0.013088173633418635
K,0,Packaged Foods & Meats,-0.0005079504546147193,0.01091096170024066
KDP,0,Soft Drinks & Non-alcoholic Beverages,-9.652305638530702e-05,0.01137408317246447
KEY,1,Regional Banks,0.00013122672382816843,0.03574675036534868
KEYS,0,Electronic Equipment & Instruments,-0.00011760867944497637,0.018190429075123447
KHC,0,Packaged Foods & Meats,-0.0001543160076544094,0.01097138232497851
KIM,4,Retail REITs,0.00038150890170480194,0.01780333436969784
KKR,1,Asset Management & Custody Banks,0.002550190967909439,0.019983283178474302
KLAC,2,Semiconductor Materials & Equipment,0.0020243373623773887,0.021589048680287812
KMB,0,Household Products,-0.00028937700589869484,0.009539844198134735
KMI,0,Oil & Gas Storage & Transportation,0.0002371379594299259,0.010946715052620357
KMX,1,Automotive Retail,0.0013007010904451334,0.026706020139528126
KO,0,Soft Drinks & Non-alcoholic Beverages,-0.00010435269311910728,0.00847442391213936
KR,0,Food Retail,0.00028023032926022685,0.012255390138876374
KVUE,0,Personal Care Products,-0.0007268356830165863,0.013527354728163798
L,0,Multi-line Insurance,0.0007727025554853562,0.011443185334029231
LDOS,0,Diversified Support Services,0.0003316395163121301,0.01631968550118197
LEN,1,Homebuilding,0.002127009699891694,0.017146512239264333
LH,0,Health Care Services,0.000551342334017464,0.011869854838636576
LHX,0,Aerospace & Defense,0.0002758029245993129,0.01470744574887462
LII,0,Building Products,0.002703016800374958,0.018361802045642455
LIN,0,Industrial Gases,0.0011558126132087284,0.012444055534709224
LKQ,0,Distributors,-0.000305470801819732,0.01323000361643372
LLY,0,Pharmaceuticals,0.0020822743571418437,0.018200432351214584
LMT,0,Aerospace & Defense,-3.837464944048565e-05,0.011382400371927084
LNT,4,Electric Utilities,-8.805662998895358e-05,0.012723450704329486
LOW,0,Home Improvement Retail,0.000641581735016168,0.014861450899952795
LRCX,2,Semiconductor Materials & Equipment,0.002848524121906913,0.02252297051757581
LULU,0,"Apparel, Accessories & Luxury Goods",0.0020471799221738808,0.020539709455706465
LUV,1,Passenger Airlines,-0.0001881565542141603,0.01934679553181688
LVS,1,Casinos & Gaming,0.000190499975730499,0.018450577852127097
LW,0,Packaged Foods & Meats,0.0010326968400981833,0.01601089428193829
LYB,0,Specialty Chemicals,0.0008091213749182035,0.014129536846744338
LYV,0,Movies & Entertainment,0.0014286380163405796,0.019890022185492105
MA,0,Transaction & Payment Processing Services,0.0009142753232739209,0.010838976401672293
MAA,4,Multi-Family Residential REITs,-0.0003256658603182597,0.014515904896253016
MAR,0,"Hotels, Resorts & Cruise Lines",0.001856436554894619,0.01519129102065879
MAS,1,Building Products,0.0016209965719848464,0.017342379700085918
MCD,0,Restaurants,0.00059000932541681,0.008798221657998487
MCHP,2,Semiconductors,0.0013635182575767863,0.020803054357181237
MCK,0,Health Care Distributors,0.0009548202865427638,0.012513825934291437
MCO,0,Financial Exchanges & Data,0.0015151896309705264,0.01332533387256509
MDLZ,0,Packaged Foods & Meats,0.0005114878330460611,0.011124094923819761
MDT,0,Health Care Equipment,0.00043025898238792956,0.013495044791211913
MET,1,Life & Health Insurance,-6.585822340766973e-05,0.017225301070719266
META,2,Interactive Media & Services,0.004493166562404995,0.025089850739437734
MGM,1,Casinos & Gaming,0.001399584540138981,0.020861085804853834
MHK,1,Home Furnishings,0.00012790978459880416,0.02275959797390629
MKC,0,Packaged Foods & Meats,-0.0005956301838865802,0.015300243077160816
MKTX,0,Financial Exchanges & Data,0.0004212914792981243,0.023055796474108676
MLM,0,Construction Materials,0.001720579485520971,0.016245125028568473
MMC,0,Insurance Brokers,0.0006450423320705513,0.010563637507481129
MMM,1,Industrial Conglomerates,-7.442562772528697e-05,0.017163034015955807
MNST,0,Soft Drinks & Non-alcoholic Beverages,0.0006033855744261758,0.013227830028433609
MO,0,Tobacco,-7.566929347364875e-05,0.010814545553899189
MOH,0,Managed Health Care,0.0006427054265944554,0.016855643736784533
MOS,3,Fertilizers & Agricultural Chemicals,-0.0003310420638675971,0.02340121105287129
MPC,3,Oil & Gas Refining & Marketing,0.0014405087563513091,0.01891157861989519
MPWR,2,Semiconductors,0.0029347305884467063,0.030392647012539166
MRK,0,Pharmaceuticals,0.00010381631410846502,0.01187967724665327
MRNA,0,Biotechnology,-0.0019532278725190124,0.028504523779847277
MS,1,Investment Banking & Brokerage,0.0006233456201783552,0.016327964151793776
MSCI,0,Financial Exchanges & Data,0.0010289324451477093,0.0181055277025364
MSFT,2,Systems Software,0.0019716605827374994,0.015824350431160566
MSI,0,Communications Equipment,0.000908788688834324,0.011981544493992271
MTB,1,Regional Banks,0.00016452255143547387,0.021509094459596728
MTCH,1,Interactive Media & Services,-0.00011273125685431493,0.026748283085421848
MTD,0,Life Sciences Tools & Services,-0.0006018282474238025,0.01718195724145107
MU,2,Semiconductors,0.002403767008343008,0.02284011637094471
NCLH,1,"Hotels, Resorts & Cruise Lines",0.002586854434592542,0.03096287136530648
NDAQ,0,Financial Exchanges & Data,-5.472093944096084e-05,0.015473048640207697
NDSN,0,Industrial Machinery & Supplies & Components,0.0005894215214432042,0.015628362495755155
NEE,4,Multi-Utilities,-0.0010204661579879147,0.01785888424041928
NEM,0,Gold,-0.0003580972065358151,0.02043577002438527
NFLX,2,Movies & Entertainment,0.002287506375483668,0.02367695001485527
NI,4,Multi-Utilities,0.0001029914632593397,0.013178303269638706
NKE,0,"Apparel, Accessories & Luxury Goods",-0.0001615536687923768,0.017055997027018186
NOC,0,Aerospace & Defense,-0.000409367349870682,0.014331492607955586
NOW,2,Systems Software,0.002633238154879819,0.01986841567632261
NRG,0,Independent Power Producers & Energy Traders,0.0022520422076643108,0.017216668381735512
NSC,0,Rail Transportation,1.3922092410322358e-05,0.014206732255867638
NTAP,0,"Technology Hardware, Storage & Peripherals",0.001750915927947842,0.01697345594677248
NTRS,1,Asset Management & Custody Banks,0.0001161717252214552,0.020797889920766966
NUE,0,Steel,0.0013998118707153194,0.020460725539434333
NVDA,2,Semiconductors,0.005441798042665755,0.03052477914650981
NVR,1,Homebuilding,0.0018023211987826914,0.014526866526966024
NWS,0,Publishing,0.001522247287774218,0.01744059238859426
NWSA,0,Publishing,0.0013767474410435194,0.017415761845784215
NXPI,2,Semiconductors,0.0018630295336893885,0.020066886443696322
O,4,Retail REITs,-0.0001337580143339469,0.01238252151525395
ODFL,0,Cargo Ground Transportation,0.0016799695197080725,0.020665022001536297
OKE,0,Oil & Gas Storage & Transportation,0.0007228841807565014,0.015130687325656292
OMC,0,Advertising,0.00043361488341728136,0.014998317323887645
ON,2,Semiconductors,0.0016646905697503323,0.02929043943557216
ORCL,2,Application Software,0.0011730773730175695,0.019005973141594454
ORLY,0,Automotive Retail,0.0005714892946065078,0.012686207352813542
OTIS,0,Industrial Machinery & Supplies & Components,0.0006260332508119707,0.011837820123430277
OXY,3,Oil & Gas Exploration & Production,0.00010871975981802585,0.01738171246531849
PANW,2,Systems Software,0.003326178547620955,0.024137742124217224
PARA,1,Movies & Entertainment,0.00023818201823202497,0.03737895073189861
PAYC,1,Human Resource & Employment Services,-0.0008531364422419275,0.03369685260265829
PAYX,0,Human Resource & Employment Services,0.00033112225027742204,0.013990831516714491
PCAR,0,Construction Machinery & Heavy Transportation Equipment,0.0018910852370312469,0.014727157288170239
PCG,4,Multi-Utilities,0.0006457026617370239,0.012866501022055502
PEG,4,Electric Utilities,0.00016769118532133207,0.012302877365281161
PEP,0,Soft Drinks & Non-alcoholic Beverages,-6.16213271771117e-05,0.009468870288852354
PFE,0,Pharmaceuticals,-0.0020310912781365906,0.014498281653612362
PFG,1,Life & Health Insurance,3.3656768090263346e-05,0.016835995292555323
PG,0,Personal Care Products,9.194755748511481e-06,0.009403861939864573
PGR,0,Property & Casualty Insurance,0.0010024965293771902,0.018840330169320664
PH,0,Industrial Machinery & Supplies & Components,0.00204675449723663,0.01722632600369158
PHM,1,Homebuilding,0.0034465894921412964,0.01890590612411876
PKG,0,Paper & Plastic Packaging Products & Materials,0.0011962677667555126,0.015577586470944649
PLD,4,Industrial REITs,0.0009244471520597161,0.016671803883347297
PLTR,1,Application Software,0.004891639497923942,0.04371088664608761
PM,0,Tobacco,-2.489036102335119e-05,0.01038611730816032
PNC,1,Diversified Banks,0.0002624883438920073,0.019784446343696922
PNR,1,Industrial Machinery & Supplies & Components,0.0021293969907948806,0.017839841266899123
PNW,4,Multi-Utilities,0.00011377353898310889,0.013168585599759735
PODD,0,Health Care Equipment,-0.0008044830136541516,0.025046656957464795
POOL,1,Distributors,0.0013829280672869202,0.020169023616948188
PPG,0,Specialty Chemicals,0.000855277160900138,0.015401533515200521
PPL,4,Electric Utilities,-7.913727335503159e-05,0.012055644211793939
PRU,1,Life & Health Insurance,0.0005052939149058026,0.015466333809030015
PSA,4,Self-Storage REITs,0.0007040861939961557,0.014498182547895642
PSX,3,Oil & Gas Refining & Marketing,0.0014273844528083844,0.01790601474957959
PTC,0,Application Software,0.0016119739516567077,0.01305874544302586
PWR,0,Construction & Engineering,0.0018788893802612313,0.01742905568738289
PYPL,0,Transaction & Payment Processing Services,-0.000512660713245049,0.022929065510428608
QCOM,2,Semiconductors,0.0015046338190690513,0.019779680383596135
